,Title,Category,Summary,Fees/Payments,Languages,Website,Address,Email,Phone
55,Gaylesta Psychotherapist Association,LGBTQ Centered Services,"Oldest and largest collection of individuals focused on LGBTQ mental health; seeks to provide a range of services, experience, specializations, and expertise. Works to promote awareness of the special skills members have to offer the LGBTQ communities and the general public. Provides mental health services including therapist referrals, education, and consultation.",Offer referral memberships.,N/A,https://gaylesta.org/; Therapist Directory: https://directory.gaylesta.org/find-a-therapist/?user=find-a-therapist,"584 Castro Street, #230 San Francisco, 94114 (mailing address only)",membership@gaylesta.org,(415) 729-3996
56,Lyon Martin Health Services,LGBTQ Centered Services,"Believe preventive, educational care is essential to lifelong health and that all people deserve excellent health care, regardless of their ability to pay. Ensure that each client feels comfortable and safe using their voice to direct the care they receive. Provide primary medical care, sexual and reproductive health care, and mental health services for women, gender non-conforming people, and transgender people of all gender identities and sexual orientations.","No fees, call to make an appt",N/A,https://lyon-martin.org/,"1735 Mission Street San Francisco, CA 94103",info@lyon-martin.org,(415) 565-7667
57,LYRIC Center for LGBT Youth,LGBTQ Centered Services,"Mission is to build community and inspire positive social change through education      enhancement, career training, health promotion, and leadership development with LGBTQ youth, their families, and allies of all races, classes, genders, and abilities. Offers community mentorship programs, artistic residencies, medical support for trans youth, and mentorship programs.",No fees.,N/A,https://lyric.org/,"127 Collingwood Street San Francisco, CA 94114",lyricinfo@lyric.org,(415) 703-6150 x100
58,San Francisco LGBT Center,LGBTQ Centered Services,"Connects our diverse community to opportunities, resources and each other to achieve a vision of a stronger, healthier, and more equitable world for LGBT people and allies. Offers arts and culture events, community programs and groups, employment and financial services, and youth services.",No fees.,N/A,https://www.sfcenter.org/,"1800 Market Street, San Francisco, CA 94102",info@sfcenter.org,(415) 865-5555
59,Tenderloin Self Help Center,LGBTQ Centered Services," Builds community strength by advocating for policies and rendering services which foster self-sufficiency and cultural enrichment. Encourages self-help, mutual respect, and increased self-esteem. Goal is to make the heart of San Francisco a better place for all. Provide a wide range of services, including case management, support and social groups, vocational resources, as well as access to basic amenities, such as street respite, restrooms, phone, email, mail service, and weekly grocery distribution. Through a partnership with the Harm Reduction Therapy Center, the Tenderloin Self-Help Center is able to provide on-site mental health and substance use counseling daily. The Care Through Touch Institute also provides weekly healing massage and movement therapy to participants.",No fees.,N/A,https://www.hospitalityhouse.org/tenderloin-self-help-center.html,"146 Leavenworth Street San Francisco, CA",N/A,(415) 749-2143
60,The Trevor Project: 24/7 Suicide Prevention Lifeline,LGBTQ Centered Services,"Mission is to end suicide among gay, lesbian, bisexual, transgender, queer & questioning young people. Offers a judgment free place to talk if one is feeling suicidal or is in crisis. Provides a crisis intervention which includes a lifeline, safe chat and text services.",No fees.,N/A,https://www.thetrevorproject.org/?gclid=EAIaIQobChMIrOmujcfK6gIVw8DACh12XAwuEAAYASAAEgK4tPD_BwE,N/A,info@thetrevorproject.org,866-488-7386
61,UCSF Behavioral Alliance Health Services,LGBTQ Centered Services,"A LGBTQ specialty mental health clinic offering a range of support services to help with problems caused by living with HIV, mental illness, and substance use. Goal is to reduce the symptoms of mental illness or substance use that cause problems for clients.",Must have an Alliance Health Project provider.,"English, Cantonese, Mandarin, Spanish, Russian, and ASL",https://alliancehealthproject.ucsf.edu/behavioral-health-services#Psychotherapy,"1930 Market Street San Francisco, CA 94102",contact through the following link https://alliancehealthproject.ucsf.edu/contact-us,(415) 476-3902
62,Al-Anon/Alateen San Francisco Chapter,Support Groups,Provides meetings for individuals who have been affected by someone else’s drinking. Offers help and hope to participants while providing a safe space for people to share their experiences.,"Alateen provides meetings for youth between the ages of 12-19 who have been affected by alcoholism. Teens run all meetings and adult sponsors serve as facilitators, not managers or supervisors—; No fees for membership to Al-Anon or Alateen.; Meetings are held in-person, online, and over the phone.","English, French, American Sign Language",www.al-anonsf.org; For more information on locating Al-Anon meetings: https://www.al-anonsf.org/meetings,"The Flood Building, 870 Market Street, Suite 1169, San Francisco, CA 94102",N/A,(415) 834-9940
63,Depression and Bipolar Alliance Friends and Family Group,Support Groups,"A peer-driven community of people with mood disorders and their friends and families. Dedicated to supporting, empower and educate by providing a safe and compassionate environment through peer support groups and education opportunities.",Free with voluntary donation.,N/A,https://www.dbsasf.org/,"St. Francis Memorial Hospital 900 Hyde Street San Francisco, CA 94109",dbsasf@gmail.com,(415) 758-1799
64,Give Us the Floor,Support Groups,"Creates and supports a safe, non-judgmental and trustworthy community where teenagers know that whatever challenge they struggle with, they will find peers that have faced or are facing the same challenges. Help teens deal with distress through unique, peer support groups that leverage social media to provide constant contact and anonymity in a safe teen-only community, breaking the isolation and shame cycles. Trained teens facilitate confidential, Supportive Group Chats and members help each other with common mental health and social issues such as depression, isolation, anxiety, body image, discrimination, bullying, relationships, and identity.",No fees.,N/A,https://giveusthefloor.org/,"456 Montgomery Street, Suite 1040 San Francisco, CA 94104",info@giveusthefloor.org,N/A
65,National Alliance on Mental Illness (NAMI) SF Support Groups,Support Groups,Provides knowledge and understanding along with an opportunity for group attendees to share experiences in a confidential setting. Groups are led by either trained professionals or NAMI members with extensive personal experience coping with mental illnesses and its impact on families. Please see NAMI addendum or visit our website for information on specific groups.,All support groups are no cost and drop-in.,"English, Spanish, Cantonese (depending on group)",https://www.namisf.org/support-groups,"711 Van Ness, Suite 550 San Francisco, CA 94102",info@namisf.org,(415) 237-0039
66,Support for Families - Support Groups,Support Groups,Peer groups provide space for participants to seek peer-to-peer support from one another as well as practical information and education.,"Interpretation is available free of charge with one week’s advanced notice; to register, fill out the online registration forms when available","English, Spanish",https://www.supportforfamilies.org/education/peer-groups/,"1663 Mission Street, Suite 700, San Francisco, CA 94103",info@supportforfamilies.org,(415) 920-5040
67,RSSE (Reducing Stigma in South East) Family Support Group and Healing Circle,Support Groups,Mission is to reduce the stigma in communities so that people who need mental health services can and do receive them. Open to all families and friends who are supporting a loved one with mental health issues.,Free support group.,English,https://sf-goso.org/support-services/support-groups-classes-and-healing-circles-supportive-services/,"4445 3rd Street, San Francisco, CA 94124",see website for email information,see website for phone number
68,Community Youth Center,Outpatient Therapy,"Empowers and strengthens a diverse population of high need youth and their families by providing comprehensive youth development through education, employment training, advocacy, and other support services. Provides case management and individual and family therapy for youth and their families. Clinicians and case managers conduct psycho-social assessments, address mental health stigma, limited access to linguistically and culturally appropriate services, and co-factors specific behavioral health issues such as violence, chronic truancy, and substance use prevention.","All services free for Medical recipients, may be sliding scale with private insurance. Often referred in through school staff.","English, Mandarin, Cantonese, Nepalese, Tegalu, Spanish",https://www.cycsf.org/,"1038 Post Street, San Francisco, CA 94109",hello@cycsf.org,(415) 775-2636
69,California Pacific Medical Center: Child and Adolescent Psychiatry Outpatient Clinic,Outpatient Therapy,"Goal is to help children or teenagers return to an active and productive life, equipped with the skills to maintain good mental health for a lifetime. Offers outpatient mental health treatment, as well as inpatient evaluation, by board-certified psychiatrists. Provides personality assessments, individual therapy and group therapy.",Medi-Cal and Medicare accepted; fees are based on a sliding scale.,"English, Russian, Cantonese",https://www.sutterhealth.org/cpmc/services/behavioral-health/child-adolescent-behavioral-health,"2323 Sacramento St, San Francisco, CA 94115",N/A,(415) 600-3247
70,Edgewood Intensive Outpatient Services,Outpatient Therapy,"Supports youth and their families through life’s challenges with a full continuum of behavioral health services. Focuses on issues such as mental health, family relationships and life skills, and programs range from prevention and early intervention to community-based, day and residential treatment.",Contact Intake Department at 1-844-EDGE411 (334-3411) for intakes/referrals and visit Intake Page for more information. Accept SF County Medical and private insurance.,"Bilingual therapists in Spanish and Cantonese, specific to programs",https://edgewood.org/intensive-outpatient/,"1801 Vicente Street San Francisco, CA 94116",michaelc@edgewood.org,(415) 682-3172
71,UCSF Langley Porter Child & Adolescent Psychiatric Clinic,Outpatient Therapy,"Mission is to provide exceptional care for children, adolescents, young adults, and families with mental health and developmental concerns while advancing scientific knowledge, and clinical training. Services include various psychiatric assessments, medication treatments, psychotherapies and groups, and specialized clinics.","Accepts all major private insurances and private pay. Kaiser must get a referral first. Does NOT accept Medi-Cal or Medi-Cal-based plans such as SF Health Plan. Other than the intake line, patients can be referred by their UCSF doctor/pediatrician.",English and translator services available in multiple languages,https://psych.ucsf.edu/lpphc/cas,"401 Parnassus Ave, San Francisco, CA 94143",N/A,Intake Line: (415) 476-7500; for inquiries other than requesting an appointment (415) 476-7000
72,Westside Community Services,Outpatient Therapy,"Provides high quality, family-centered, culturally competent behavioral health and human services. Focused interventions include using Afrocentric evidence-based treatments. Afrocentric means utilizing African people's history, culture, philosophy, and collective experience as the frame of reference for providing treatment. Westside Ajani is a comprehensive multi-service program that provides outpatient mental health, school-based mental health, and consultation case management and outreach.","Only SF Medical is accepted; all types of referrals are accepted: self-referral, agency referrals, etc.",English,http://www.westside-health.org/services/westside-child-and-adolescent-services,"1153 Oak Street San Francisco, CA 94117; Teen Clinic: 245 11th Street, San Francisco, CA 94103",ajani@westside-health.org,(415) 431-8252
73,Alcoholics Anonymous,Youth Substance Abuse Services,"A voluntary, worldwide fellowship of men and women from all walks of life who meet together to attain and maintain sobriety. Meetings usually consist of talks by a leader and two or three speakers who share experience related to their alcoholism and recovery in A.A.",There are no dues or fees for A.A. membership.,English and Spanish,https://aasfmarin.org/,see the following link for meeting locations https://aasf.org/meetings?tsml-time=upcoming&tsml-region=235,help@aasf.org,(415) 674-1821
74,Asian-American Recovery Services,Youth Substance Abuse Services,"Reduces the impact and incidence of substance use in the Bay Area. Provides culturally competent services to the Asian and Pacific Islanders and other ethnically diverse San Francisco Bay Area communities. Offers substance use disorder treatment, mental health treatment, integrated behavioral health services, HIV prevention, testing and counseling, juvenile justice, and probation youth services",Sliding scale; Medi-Cal accepted,"English, Mandarin, Cantonese, Tagalog, Vietnamese, Korean, and Spanish",https://www.healthright360.org/agency/asian-american-recovery-services,"2024 Hayes Street, San Francisco, CA 94117",N/A,(415) 750-5111
75,Horizons Unlimited of San Francisco,Youth Substance Abuse Services,"Strengthens and transforms the lives of Latino and other youth and families of color through a continuum of culturally rooted services that include substance abuse prevention and treatment, mental health and wellness, workforce development, and gender-specific programming.",No fees; referral forms are on website; fill out and fax to (415) 487-6724,English and Spanish,https://www.horizons-sf.org/,"440 Potrero Ave., San Francisco 94110",info@horizons-sf.org,(415) 487-6700 or (415) 487-6730
76,Ohlhoff Recovery Programs - Teen Intervene,Youth Substance Abuse Services,"Provides the highest quality treatment services for the disease of chemical dependency; empowering individuals and families to take responsibility for their recovery. Ohlhoff's Adolescent Chemical Dependency Program, Teen Intervene, is a brief strategic, evidence-based program for teens ages 12-19 years old exhibiting mild to moderate problems associated with alcohol and/or drug use problems.","To begin the admission process into the program, you must schedule an assessment appointment. Accepts most major private insurance plans. Does not accept Medi-Cal or Medicare.",English,https://www.ohlhoff.org/recovery-programs#outpatient; For more information on programs and their requirements: https://www.ohlhoff.org/recovery-programs#Our-Programs-Top;  For more information on insurances accepted and assessment form: https://www.ohlhoff.org/gettingstarted#assessment-form,"927 Irving Street, San Francisco, CA 94122",find specific program/staff email information through the following link: https://www.ohlhoff.org/aboutus,(877) 677-4543
