"name1","name2","street1","street2","city","state","zip","zip4","county","phone","intake_prompt","intake1","intake2","website","latitude","longitude","type_facility","mh","sa","dt","mm","dm","bum","db","rpn","bu","nxn","vtrl","meth","hh","noop","pain","nmoa","moa","ubn","otp","psy","rtcc","rtca","ores","ph","omh","cmhc","msmh","ipt","cft","gt","cbt","dbt","idd","at","ect","tele","saca","trc","smon","smpd","smop","hi","res","phdt","op","rs","rl","rd","od","omb","odt","oit","ort","hid","hit","ct","gh","psyh","vamc","tbg","ih","stg","lccg","ddf","stag","stmh","stdh","hla","jc","carf","ncqa","coa","hfap","np","sf","md","mc","si","pi","mi","smha","swfs","scjj","sef","osf","clf","csbg","cmhg","vaf","fsa","cit","wi","ss","pa","ah","sp","co","gl","vet","adm","mf","cj","se","ad","pw","wn","mn","hv","trma","xa","dv","sed","smi","alz","ptsd","tbi","tay","ped","act","icm","cm","cdm","peer","coot","dec","es","fpsy","hs","imr","ipc","lad","nrt","nsc","prs","stu","sps","semp","sh","tpc","tcc","vrs","adtx","bdtx","cdtx","mdtx","odtx","tgd","ico","gco","fco","mco","twfa","bia","cmi","moti","ang","mxm","crv","relp","bc","chld","yad","adlt","snr","fem","male","du","duo","acc","acm","acu","baba","ccc","cmha","csaa","daut","dp","dsf","dvfp","eih","emp","haec","heoh","hivt","isc","itu","mhs","opc","sae","shg","smhd","ssa","ssd","stdt","ta","taec","tbs","bsdm","nu","mu","bwn","bwon","ub","un","beri","pvtp","pvtn","fqhc","sumh","inpe","rpe","pc","naut","nmaut","acma","pmat","auinpe","aurpe","aupc","dlc","mhiv","mhcv","lfxd","clnd","copsu","daof","mst","noe","ofd","rc","piec","mdet","voc","hav","hbv","audo","cbhc","chlor","drope","fluph","halop","loxap","perph","pimoz","proch","thiot","thior","trifl","aripi","asena","brexp","carip","cloza","ilope","luras","olanz","olanzf","palip","queti","rispe","zipra","crt","emdr","kit","tms","peon","peoff","fg","pcf","pefp","aot","msnh","ipsy","shp","vahc","mmd","antpych","mpep","aim","fed","sotp","dea","mhc","samf","mhpa","hbt","hct","labt","tod","vapn","vapp","vppd","oudo","nx","fx","mws","f17","f19","f25","f28","f30","f31","f35","f36","f37","f4","f42","f43","f47","f66","f67","f70","f81","f92","n24","n40"
"Epiphany Residential","","100 Masonic Avenue","","San Francisco","CA","94118","","San Francisco","415-567-8370","Intakes","415-567-8370 x4241","415-426-9151","http://www.theepiphanycenter.org","37.7806615","-122.4471219","SU","","1","","","","1","","","1","","","","","","","","1","","","","","","","","","","","","","","1","","","","","1","1","1","","1","","","1","","","1","1","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","1","1","1","1","","","","","","","","","","","","1","","","1","","1","","","","","","","","","","1","1","","","1","","","","","","","","","","","","1","","1","","","","","1","","","","1","","","1","1","","","","1","","","","","","","","1","1","1","","1","1","1","1","","","","1","1","","1","1","","1","","","","1","","1","1","1","1","1","1","1","","1","1","1","1","1","","","","1","1","1","1","1","1","1","","1","1","1","","","","1","1","","","","","1","","1","","1","1","","","1","","","1","1","","","","","","","1","","1","1","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HealthRIGHT 360","AARS Project ADAPT","2020 Hayes Street","","San Francisco","CA","94117","","San Francisco","415-750-5125","","415-776-1001","","http://www.healthright360.org/program/asian-drug-and-alcohol-prevention-and-treatment-adapt","37.7736939","-122.4496874","SU","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","1","1","1","","1","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","1","","","","","","1","1","","","","","","","","","","","","","1","","","","","","","1","1","","","","1","1","","","1","1","","1","","","","","","","","1","","","","1","","1","","","","","1","","","","","","","1","","","","","1","","","","","","","","1","1","","","1","","1","1","1","1","1","1","","","1","1","","1","1","","","","","","1","","","1","1","1","","","","1","","","","1","","1","","1","1","1","1","1","","1","","","","1","","","","","","","","1","","","1","1","1","","","1","","","1","1","","","","","","","","","1","1","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","1","","","","","","","","","","","1","","","","","","","",""
"Seneca Family of Agencies","San Francisco Connections","2513 24th Street","","San Francisco","CA","94110","","San Francisco","415-642-5968","","","","http://www.senecafoa.org","37.7529082","-122.4047603","MH","1","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","1","1","1","1","","1","","1","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","1","1","1","1","1","1","1","","","","1","","","","1","1","1","","","","","1","","","","","","","1","","","1","1","","1","","1","1","","1","1","","1","1","","","1","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fort Help Mission","","1101 Capp Street","","San Francisco","CA","94110","","San Francisco","415-821-1427","","","","http://www.americanhealthservices.org","37.7488723","-122.4168622","SU","","1","1","1","1","1","1","","1","","","1","","","","","","","1","","","","","","","","","","","","1","","","","","","1","1","1","","","","","","1","","","","1","1","","","1","","","","","","","","","","","","1","","","","","","","1","","","1","1","1","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","1","","","","","","","","","","","","","","","","","","1","","1","1","","","","","","1","","1","","1","","","1","1","","1","1","","","1","","","1","","","1","1","1","","","","","1","1","","","","","1","1","","1","1","1","1","","1","1","","","1","1","1","1","","","1","","","","","","","1","","","","","","","","","","","","","1","","1","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","1","","1","","","1","","","1","","","1","","","","","","","","","","","","","","","","","","","",""
"Progress Foundation","Shrader House Crisis Program","50 Shrader Street","","San Francisco","CA","94117","1015","San Francisco","415-668-4166","","415-722-1983","","http://www.progressfoundation.org","37.7743889","-122.4525703","MH","1","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","1","","","1","1","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","","","","","","1","1","","","","","1","","","1","","1","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","1","1","1","1","","1","","1","1","1","1","1","","","","1","","","","","","","","","","","","","","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","1","","","","1","","","1","1","1","1","1","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Saint Marys Medical Center","McAuley Institute","2200 Hayes Street","","San Francisco","CA","94117","","San Francisco","415-750-1000 x5872","","","","http://stmarysmedicalcenter.com","37.7737332","-122.4536098","MH","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","1","1","1","1","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","1","1","1","1","1","1","1","1","1","1","","","","","","","","1","1","1","1","","","","1","","","","","","1","1","","","1","","","1","","","1","","1","1","1","","","1","1","1","","1","","","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","1","","","1","1","","","","","","","","","","1","","","1","","","","1","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Langley Porter Psychiatric Institute","UCSF Parnassus Campus","401 Parnassus Avenue","Box 1954","San Francisco","CA","94143","2211","San Francisco","415-476-7000","","","","https://psych.ucsf.edu/lpphc","37.7635228","-122.4568066","MH","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","1","1","","","","1","","","1","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","1","","1","","1","1","","","","","","","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","1","","1","1","1","1","","","","","","1","","","","1","","1","1","","","1","1","1","","","","","","","","","","","","","","","","1","","1","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Foundations San Francisco","","1700 Montgomery Street","Suite 435","San Francisco","CA","94111","","San Francisco","415-293-1685","Intakes","855-270-7615","415-293-1694","http://www.FoundationsSanFrancisco.com","37.8052715","-122.4047486","SU","","1","","","","","","1","1","1","1","","","","","","1","","","","","","","","","","","","","","1","","","","","1","1","1","","1","","","","","1","","","","","1","","1","","","","","","","","","","","","","","","1","","1","","","","","","1","","","","1","1","","","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","1","","","","","1","","1","1","","","","","","","","","","","1","1","1","1","1","","","1","1","1","1","","1","","","1","1","","1","1","","","1","1","1","","","1","1","1","1","1","","","","","","","","","1","1","1","","1","1","1","","1","","","","1","","1","1","1","1","1","1","","","1","","","1","","","1","1","","","1","","","","1","1","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","1","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Progress Foundation","Carroll House/Seniors Trans Prog","73 Anderson Street","","San Francisco","CA","94110","","San Francisco","415-821-0697","","415-821-0828","","http://www.progressfoundation.org","37.7419499","-122.414849","MH","1","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","1","","","","","1","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","1","1","","","","","","","","","","","","","","","","","1","","","","","","1","","","","","","1","","","","","","","","1","1","1","","","","","","","","","1","1","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Progress Foundation","Cortland House Residential Program","77 Cortland Avenue","","San Francisco","CA","94110","","San Francisco","415-550-1881","","415-861-0828","","http://www.progressfoundation.org","37.740459","-122.42125","MH","1","1","","","","","","","","","","","","","","","","","","","","1","","","","","","1","","1","1","1","1","1","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","","","1","","","","","1","","","1","","1","","1","1","","","1","","","","","","","","","","","","1","","","","1","","","","","","","","1","","1","1","","","","1","","","","","1","1","1","","","","","1","1","","","","","","","","","","","","","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Ohlhoff Recovery Programs","San Francisco Outpatient Program","927 Irving Street","","San Francisco","CA","94122","","San Francisco","415-575-1100 x307","","415-575-1100 x301","","http://www.ohlhoff.org","37.7637366","-122.4679956","SU","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","1","1","1","","1","","","","","1","","","","","","","1","1","","","","","","","","","","","","1","","1","","","","","","","","1","","","","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","1","1","","","","","","","","","","1","","","","1","","1","","","","","","","","","","","","","","","","","1","","","","","","","","1","1","1","1","1","1","","1","1","","","1","","","1","1","","1","1","","","1","","","1","","","1","1","1","","","","","","","","1","","","1","1","1","","1","1","","","","","","","","","","","","","","1","","","1","1","1","","","1","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Edgewood Ctr for Children and Families","","3801 3rd Street","Suites 610 and 620","San Francisco","CA","94124","","San Francisco","415-682-3276","","","","http://www.edgewood.org","37.7415154","-122.3873461","MH","1","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","1","1","1","","","1","","1","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","1","","","","","1","","","1","1","","1","","","1","1","1","","","","","","1","","1","","1","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Jewish Home of San Francisco","Acute Psychiatric Hospital","302 Silver Avenue","","San Francisco","CA","94112","1510","San Francisco","415-469-2328","","","","http://www.jhsf.org","37.7277138","-122.4308435","MH","1","1","","","","","","","","","","","","","","","","","","1","","","","","","","","1","","1","1","1","1","1","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","1","","","","","","","","","","","","1","","","","1","1","1","1","1","","1","","1","","","","","1","1","","","","1","1","1","","","","","","1","","","","1","1","1","","","","","1","1","1","1","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","1","","","","","","1","1","","1","1","","1","1","1","1","1","1","1","","","","","","","","","","","","","","","","1","","1","","","","","","","","","1","","1","","","","","1","","1","","","","","","1","","","","","","","","","1","1","1","",""
"Felton Institute","GSW reMIND and BEAM","6221 Geary Boulevard","2nd Floor","San Francisco","CA","94121","","San Francisco","415-474-7310","","","","http://www.felton.org","37.779676","-122.4863517","MH","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","1","1","1","1","","1","","1","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","1","","1","","","","","","","1","","","1","1","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","1","1","","1","","","","1","1","","","","","","1","1","1","","","","","1","","","","","","","","","","","","","","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","1","","","","1","","","1","","1","1","1","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","1","","","","","1","","1","","","","","","","","","","","","","","","1","1","","",""
"Bayview Hunters Point Foundation","Substance Use Disorder Programs","1625 Carroll Avenue","","San Francisco","CA","94124","","San Francisco","415-822-8200 x10","","415-822-8200 x33","","http://www.bayviewci.org","37.7250938","-122.3941174","SU","","1","1","1","1","1","1","","1","","","1","","","","","1","","1","","","","","","","","","","","","1","","","","","1","1","1","1","","","","","","1","","","","","1","","","1","","","","","","","","","","","","1","","1","","","1","","","","","1","","1","1","","","","","","","","","","","","1","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","1","","","","","","","1","","","","","1","","","","","","1","","1","1","","","","","","1","","","","","","","1","1","","1","1","","","1","","","1","","1","1","1","1","","","","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","","","1","1","","1","","","","1","","1","","","1","1","","","","","","","","","1","","","","1","","1","1","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","1","","1","","","1","","","1","","1","","","","","","","","","","","","","","","","","","1","","",""
"Richmond Area Multi Services Inc","Outpatient Clinic","3626 Balboa Street","","San Francisco","CA","94121","2604","San Francisco","415-668-5955","","415-668-5955 x327","","http://www.ramsinc.org","37.7759301","-122.4979775","MH","1","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","1","1","","","","","","1","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","1","","","","","","","","","1","1","","","","","","","","","","","","","","","","1","1","","","","","","","","1","","1","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","1","","","1","1","","","1","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","1","","","","","1","","1","","1","","","","1","1","","","","1","1","","","1","","1","",""
"Edgewood Ctr for Children and Families","","1801 Vicente Street","","San Francisco","CA","94116","2923","San Francisco","415-681-3211","","415-682-3176","","http://www.edgewood.org","37.7382644","-122.486567","MH","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","","1","","1","","","1","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","1","1","","1","1","1","1","1","1","","1","","","1","","","","1","1","","","","","","","","","","","","","","","","1","","","","","","","","1","1","","1","","1","1","1","1","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Veterans Affairs Medical Center","Addiction Recovery Treatment Services","4150 Clement Street","","San Francisco","CA","94121","","San Francisco","415-221-4810 x24362","Intakes","415-221-4810 x23878","415-221-4810 x24824","https://www.va.gov/san-francisco-health-care/health-services/","37.7836681","-122.5032827","SU","","1","1","1","1","1","1","1","1","1","1","1","","","","","","","1","","","","","","","","","","","","1","","","","","1","1","1","1","","","","","","1","","","","1","1","","1","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","1","1","1","","","1","","","","1","1","1","1","1","1","","","","","","","","","","1","","1","","","","","1","","1","","1","1","","1","1","","","","1","","1","1","1","1","1","","1","1","1","1","","1","1","1","1","1","","1","","","","","","1","1","","","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","","","","1","","","","","","1","1","1","","","1","1","1","1","1","1","1","1","1","","","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","1","","","","","1","1","1","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","",""
"Sunset Mental Health Services","","1990 41st Avenue","","San Francisco","CA","94116","","San Francisco","415-753-7400","","","","http://www.sfdph.org","37.749122","-122.499741","MH","1","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","1","1","1","","1","1","","1","","","1","","","","","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","1","1","1","1","","","1","","","","","1","","","","","1","1","","","","","1","1","1","","1","1","1","","","","","1","1","","1","","1","","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","","","1","1","1","1","","","","1","","","","","","","","","","","","","","","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","","","1","1","","","","","","1","","","","","","","","","","","1","","1","","","","","1","","1","","","","","","","","","","","","","","","1","","","",""
"Casa Quetzal","","635 Brunswick Street","","San Francisco","CA","94112","","San Francisco","415-337-4065","","650-244-0305","","http://www.thelatinocommission.org","37.7090701","-122.4459497","SU","","1","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","1","","","","","1","1","1","","1","","","1","","","1","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","1","1","1","1","1","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","1","","","","","","","1","1","","","","1","","","","","","","","1","1","1","","1","1","1","1","1","","","1","","","1","1","","","1","","","1","","","1","","","1","1","1","","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","","1","1","","","","","","","","","","","1","1","","","1","1","","","1","","","1","1","","","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"HealthRIGHT 360 ","AARS ODASA","6181 Mission Street","","Daly City","CA","94014","","San Mateo","415-337-0140","","","","http://www.healthright360.org","37.7066771","-122.4583118","SU","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","","1","1","","1","","","","","1","","","","","","","1","1","","","","","","","","","","","","","","1","","","1","","","","","1","1","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","1","","","","","1","","","","","","","","1","1","1","","","1","","1","1","","","1","","","1","1","","1","1","","","","","","","","","1","","1","","","","","","","","1","","1","1","1","","1","1","1","","","","","","","","","","","","","","1","","","1","","1","","","1","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","1","","",""
"Alta Mira Recovery Center LLC","","125 Bulkley Avenue","","Sausalito","CA","94965","","Marin","877-798-2377","","","","http://www.altamirarecovery.com","37.855839","-122.4817064","SU","","1","1","","","","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","1","","","","","","1","1","","1","","","1","","","1","1","1","","","","","","","","","","","","","","","","","1","","1","","1","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","1","1","","","","","1","","","1","1","","1","","","","","","","","1","","","","1","","1","","","","","","","1","","1","1","","1","1","","","","1","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","1","","","1","1","","1","1","","","1","1","1","1","","1","1","1","1","1","","","","","1","","","","1","","1","1","1","1","1","","","","1","1","1","","1","1","1","1","1","1","","","1","","","","","","","1","","1","","1","","","","1","1","","","1","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","1","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Options Recovery Services","","1630 10th Street","","Oakland","CA","94607","1426","Alameda","510-666-9552","","","","http://www.optionsrecoveryservices.com","37.8092591","-122.2969765","SU","","1","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","1","","","","","1","1","1","1","","","","","","1","","","","","","","1","1","","","","","","","","","","","","1","","1","","","","","","","","1","1","","","","","","","","","","","","","","","","","1","1","","1","1","","","","","","","","","1","1","","1","","","","","","","","","","","","1","","1","","","","","1","","","","","","","1","1","","","","1","","","","","","","","1","1","","","1","","","1","1","","","1","1","","1","1","","1","1","","","1","","1","1","","","1","1","1","","","","","","","","","","","1","1","","1","1","1","","1","","","","","","","","","","","","1","","1","","","1","","","1","","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West Oakland Health Council","Behavioral Health Department","700 Adeline Street","","Oakland","CA","94607","","Alameda","510-835-9610 x2068","","","510-835-9610 x2050","https://westoaklandhealth.org/","37.8041675","-122.2874524","MH","1","1","","","","","","","","","","","","","","","","","","","","","","","1","","","1","1","1","1","","","","","1","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","1","1","","","1","1","","","1","","1","","","","","1","1","","","","","1","","","","","","","","","","","","","","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","1","","","1","","1","","1","1","","","","","","","","","","","","","","","","1","","","","","","","","","1","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lincoln","","1266 14th Street","","Oakland","CA","94607","2205","Alameda","510-273-4700","","","","http://lincolnfamilies.org","37.8103459","-122.2885599","MH","1","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","1","1","1","1","1","1","","1","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","1","1","","1","1","","1","","","","","","","","","1","1","","","","","1","","","","","","","","","","1","","","","","","","","1","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"StarVista","Insights Adolescent Counseling Program","333 Gellert Boulevard","Suite 206","Daly City","CA","94015","","San Mateo","650-366-8436","","","","http://www.star-vista.org","37.6667243","-122.4668185","SU","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","1","1","1","1","","","","","","1","","","","","","","","1","","","","","","","","","","","","1","1","1","","","","","","","","1","1","","","","","","","","","","","","","","1","","","1","1","","1","1","1","","","","1","","1","","","","","1","","","","","","","","1","","","","1","","1","","","","","","","","","","","","1","1","","","","1","","","","","","","","1","1","","","","1","","1","1","","","1","","1","1","1","","1","1","","","1","","","1","","1","1","1","1","","","","","","","","","","1","1","1","1","1","1","1","","1","","","","","","","","","","","","1","","1","","","1","","","1","","","1","","","","","","","","","","1","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Comprehensive Psychiatric Services","","611 Gateway Boulevard","Suite 210","South San Francisco","CA","94080","","San Mateo","650-301-4960 x2","","833-277-0071","","http://www.psych-doctor.com","37.6587126","-122.4001488","MH","1","1","","","","","","","","","","","","","","","","","","","","","","","1","","","1","1","","1","","1","","","1","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","1","1","","","","","","","","","1","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","1","","1","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
